dist_code,month,documents_registered_cnt,documents_registered_rev,estamps_challans_cnt,estamps_challans_rev,Mmm,quarter,fiscal_year,district
18_2,2020-10-01,2,2200,0,0,Oct,Q3,2020,Kamareddy
22_2,2020-10-01,19,20900,0,0,Oct,Q3,2020,Bhadradri Kothagudem
21_5,2020-10-01,0,0,0,0,Oct,Q3,2020,Mahabubabad
14_2,2020-10-01,1,1100,0,0,Oct,Q3,2020,Jogulamba Gadwal
21_3,2020-10-01,0,0,0,0,Oct,Q3,2020,Jangoan
16_1,2020-10-01,189,215210,0,0,Oct,Q3,2020,Hyderabad
21_1,2020-10-01,23,25440,0,0,Oct,Q3,2020,Hanumakonda
23_3,2020-10-01,1,1100,0,0,Oct,Q3,2020,Yadadri Bhuvanagiri
20_1,2020-10-01,13,15400,0,0,Oct,Q3,2020,Karimnagar
19_3,2020-10-01,3,3060,0,0,Oct,Q3,2020,Mancherial
17_3,2020-10-01,4,4400,0,0,Oct,Q3,2020,Siddipet
17_1,2020-10-01,0,0,0,0,Oct,Q3,2020,Medak
23_2,2020-10-01,5,5500,0,0,Oct,Q3,2020,Suryapet
21_6,2020-10-01,0,0,0,0,Oct,Q3,2020,Mulugu
14_4,2020-10-01,1,1105,0,0,Oct,Q3,2020,Wanaparthy
14_5,2020-10-01,0,0,0,0,Oct,Q3,2020,Narayanpet
15_2,2020-10-01,73,80300,0,0,Oct,Q3,2020,Medchal_Malkajgiri
19_4,2020-10-01,0,0,0,0,Oct,Q3,2020,Kumurambheem Asifabad
17_2,2020-10-01,5,5700,0,0,Oct,Q3,2020,Sangareddy
22_1,2020-10-01,26,29700,0,0,Oct,Q3,2020,Khammam
19_2,2020-10-01,0,0,0,0,Oct,Q3,2020,Nirmal
19_1,2020-10-01,2,2200,0,0,Oct,Q3,2020,Adilabad
15_3,2020-10-01,3,3300,0,0,Oct,Q3,2020,Vikarabad
20_2,2020-10-01,11,12100,0,0,Oct,Q3,2020,Jagtial
14_1,2020-10-01,4,4400,0,0,Oct,Q3,2020,Mahabubnagar
21_5,2020-11-01,0,0,0,0,Nov,Q3,2020,Mahabubabad
15_1,2020-11-01,30,33000,0,0,Nov,Q3,2020,Rangareddy
20_2,2020-11-01,5,7500,0,0,Nov,Q3,2020,Jagtial
21_1,2020-11-01,17,18700,0,0,Nov,Q3,2020,Hanumakonda
21_2,2020-11-01,0,0,0,0,Nov,Q3,2020,Warangal
22_1,2020-11-01,13,15300,0,0,Nov,Q3,2020,Khammam
17_2,2020-11-01,3,3300,0,0,Nov,Q3,2020,Sangareddy
14_2,2020-11-01,1,1100,0,0,Nov,Q3,2020,Jogulamba Gadwal
14_3,2020-11-01,0,0,0,0,Nov,Q3,2020,Nagarkurnool
18_2,2020-11-01,2,2200,0,0,Nov,Q3,2020,Kamareddy
15_2,2020-11-01,70,77000,0,0,Nov,Q3,2020,Medchal_Malkajgiri
15_3,2020-11-01,4,4520,0,0,Nov,Q3,2020,Vikarabad
19_2,2020-11-01,0,0,0,0,Nov,Q3,2020,Nirmal
20_4,2020-11-01,2,2200,0,0,Nov,Q3,2020,Peddapalli
20_1,2020-11-01,8,8800,0,0,Nov,Q3,2020,Karimnagar
14_4,2020-11-01,0,0,0,0,Nov,Q3,2020,Wanaparthy
19_1,2020-11-01,1,1100,0,0,Nov,Q3,2020,Adilabad
23_2,2020-11-01,5,5505,0,0,Nov,Q3,2020,Suryapet
19_3,2020-11-01,2,3040,0,0,Nov,Q3,2020,Mancherial
21_6,2020-11-01,0,0,0,0,Nov,Q3,2020,Mulugu
14_5,2020-11-01,0,0,0,0,Nov,Q3,2020,Narayanpet
22_2,2020-11-01,10,12000,0,0,Nov,Q3,2020,Bhadradri Kothagudem
18_1,2020-11-01,8,8800,0,0,Nov,Q3,2020,Nizamabad
17_3,2020-11-01,3,3200,0,0,Nov,Q3,2020,Siddipet
23_3,2020-11-01,0,0,0,0,Nov,Q3,2020,Yadadri Bhuvanagiri
14_1,2020-11-01,3,6460,0,0,Nov,Q3,2020,Mahabubnagar
23_1,2020-11-01,0,0,0,0,Nov,Q3,2020,Nalgonda
16_1,2020-11-01,88,100800,0,0,Nov,Q3,2020,Hyderabad
19_4,2020-11-01,0,0,0,0,Nov,Q3,2020,Kumurambheem Asifabad
17_1,2020-11-01,0,0,0,0,Nov,Q3,2020,Medak
20_3,2020-11-01,2,2200,0,0,Nov,Q3,2020,Rajanna Sircilla
21_3,2020-11-01,0,0,0,0,Nov,Q3,2020,Jangoan
20_2,2020-12-01,344,7789379,416,9773232,Dec,Q3,2020,Jagtial
21_1,2020-12-01,1775,101218608,2174,126286106,Dec,Q3,2020,Hanumakonda
14_4,2020-12-01,428,9554012,457,9579862,Dec,Q3,2020,Wanaparthy
17_3,2020-12-01,986,27752706,947,30725742,Dec,Q3,2020,Siddipet
22_2,2020-12-01,270,11532231,329,13133485,Dec,Q3,2020,Bhadradri Kothagudem
14_1,2020-12-01,1232,29263859,1403,31343349,Dec,Q3,2020,Mahabubnagar
20_3,2020-12-01,317,4014287,313,3852147,Dec,Q3,2020,Rajanna Sircilla
19_1,2020-12-01,371,12503383,463,15525053,Dec,Q3,2020,Adilabad
23_1,2020-12-01,1741,41179158,2087,44821744,Dec,Q3,2020,Nalgonda
21_3,2020-12-01,334,7872988,365,12288108,Dec,Q3,2020,Jangoan
17_1,2020-12-01,500,14062784,429,13961250,Dec,Q3,2020,Medak
19_3,2020-12-01,503,15595943,582,16868604,Dec,Q3,2020,Mancherial
23_3,2020-12-01,1891,96353374,2487,98656120,Dec,Q3,2020,Yadadri Bhuvanagiri
17_2,2020-12-01,2877,214132651,3354,251767884,Dec,Q3,2020,Sangareddy
23_2,2020-12-01,1154,33456008,1355,38571467,Dec,Q3,2020,Suryapet
21_6,2020-12-01,127,3456418,146,3297808,Dec,Q3,2020,Mulugu
20_1,2020-12-01,955,39536355,1082,45437871,Dec,Q3,2020,Karimnagar
16_1,2020-12-01,2997,665356234,3121,648963721,Dec,Q3,2020,Hyderabad
19_2,2020-12-01,160,2977435,182,3200390,Dec,Q3,2020,Nirmal
22_1,2020-12-01,1630,75497225,1898,80565370,Dec,Q3,2020,Khammam
20_4,2020-12-01,288,8571375,325,9173345,Dec,Q3,2020,Peddapalli
18_2,2020-12-01,672,18867107,760,20196835,Dec,Q3,2020,Kamareddy
19_4,2020-12-01,43,1039265,43,1157235,Dec,Q3,2020,Kumurambheem Asifabad
